starting_word,target_word,guesses
adieu,aback,4
adieu,abase,4
adieu,abate,3
adieu,abbey,5
adieu,abbot,4
adieu,abhor,6
adieu,abide,3
adieu,abled,5
adieu,abode,3
adieu,abort,4
adieu,about,2
adieu,above,2
adieu,abuse,2
adieu,abyss,5
adieu,acorn,3
adieu,acrid,4
adieu,actor,3
adieu,acute,3
adieu,adage,3
adieu,adapt,3
adieu,adept,3
adieu,admin,3
adieu,admit,2
adieu,adobe,3
adieu,adopt,2
adieu,adore,2
adieu,adorn,3
adieu,adult,2
adieu,affix,5
adieu,afire,5
adieu,afoot,5
adieu,afoul,4
adieu,after,2
adieu,again,2
adieu,agape,6
adieu,agate,5
adieu,agent,4
adieu,agile,3
adieu,aging,2
adieu,aglow,3
adieu,agony,3
adieu,agora,3
adieu,agree,3
adieu,ahead,2
adieu,aider,4
adieu,aisle,2
adieu,alarm,3
adieu,album,3
adieu,alert,4
adieu,algae,5
adieu,alibi,4
adieu,alien,2
adieu,align,3
adieu,alike,3
adieu,alive,2
adieu,allay,6
adieu,alley,4
adieu,allot,5
adieu,allow,3
adieu,alloy,4
adieu,aloft,4
adieu,alone,3
adieu,along,2
adieu,aloof,5
adieu,aloud,2
adieu,alpha,4
adieu,altar,4
adieu,alter,3
adieu,amass,5
adieu,amaze,4
adieu,amber,4
adieu,amble,3
adieu,amend,3
adieu,amiss,5
adieu,amity,5
adieu,among,3
adieu,ample,5
adieu,amply,4
adieu,amuse,3
adieu,angel,3
adieu,anger,3
adieu,angle,5
adieu,angry,3
adieu,angst,4
adieu,anime,3
adieu,ankle,6
adieu,annex,4
adieu,annoy,3
adieu,annul,4
adieu,anode,4
adieu,antic,4
adieu,anvil,3
adieu,aorta,4
adieu,apart,3
adieu,aphid,3
adieu,aping,4
adieu,apnea,5
adieu,apple,4
adieu,apply,3
adieu,apron,5
adieu,aptly,4
adieu,arbor,5
adieu,ardor,3
adieu,arena,4
adieu,argue,3
adieu,arise,4
adieu,armor,4
adieu,aroma,4
adieu,arose,4
adieu,array,4
adieu,arrow,4
adieu,arson,4
adieu,artsy,4
adieu,ascot,4
adieu,ashen,5
adieu,aside,2
adieu,askew,6
adieu,assay,6
adieu,asset,3
adieu,atoll,3
adieu,atone,4
adieu,attic,3
adieu,audio,2
adieu,audit,3
adieu,augur,6
adieu,aunty,4
adieu,avail,4
adieu,avert,3
adieu,avian,3
adieu,avoid,2
adieu,await,3
adieu,awake,4
adieu,award,2
adieu,aware,3
adieu,awash,6
adieu,awful,3
adieu,awoke,5
adieu,axial,4
adieu,axiom,4
adieu,axion,5
adieu,azure,4
adieu,bacon,4
adieu,badge,4
adieu,badly,3
adieu,bagel,6
adieu,baggy,6
adieu,baker,5
adieu,baler,5
adieu,balmy,5
adieu,banal,5
adieu,banjo,5
adieu,barge,5
adieu,baron,5
adieu,basal,5
adieu,basic,3
adieu,basil,4
adieu,basin,5
adieu,basis,4
adieu,baste,7
adieu,batch,7
adieu,bathe,4
adieu,baton,5
adieu,batty,6
adieu,bawdy,6
adieu,bayou,2
adieu,beach,5
adieu,beady,4
adieu,beard,4
adieu,beast,4
adieu,beech,4
adieu,beefy,5
adieu,befit,5
adieu,began,4
adieu,begat,5
adieu,beget,5
adieu,begin,4
adieu,begun,3
adieu,being,2
adieu,belch,5
adieu,belie,5
adieu,belle,4
adieu,belly,5
adieu,below,4
adieu,bench,4
adieu,beret,4
adieu,berry,7
adieu,berth,3
adieu,beset,4
adieu,betel,4
adieu,bevel,4
adieu,bezel,5
adieu,bible,4
adieu,bicep,5
adieu,biddy,7
adieu,bigot,4
adieu,bilge,5
adieu,billy,4
adieu,binge,4
adieu,bingo,5
adieu,biome,5
adieu,birch,4
adieu,birth,3
adieu,bison,4
adieu,bitty,4
adieu,black,3
adieu,blade,4
adieu,blame,4
adieu,bland,5
adieu,blank,4
adieu,blare,5
adieu,blast,4
adieu,blaze,5
adieu,bleak,4
adieu,bleat,4
adieu,bleed,4
adieu,bleep,5
adieu,blend,4
adieu,bless,6
adieu,blimp,5
adieu,blind,3
adieu,blink,6
adieu,bliss,5
adieu,blitz,5
adieu,bloat,5
adieu,block,4
adieu,bloke,5
adieu,blond,4
adieu,blood,3
adieu,bloom,4
adieu,blown,4
adieu,bluer,4
adieu,bluff,4
adieu,blunt,5
adieu,blurb,4
adieu,blurt,4
adieu,blush,5
adieu,board,3
adieu,boast,5
